"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2000-03-31","MALJF","CAD","0000000000","2000-03-31","2000-03-31 00:00:00","2000","Q1",150300000,119400000,30900000,300000,0,0,9200000,0,14300000,133700000,0,0,0,4800000,21400000,16600000,0,16600000,-4700000,11900000,4500000,7400000,0,0,7400000,0,7400000,0.6,0.6,12333333,12333333
"2000-03-31","MAMTF","CAD","0000000000","2000-03-31","2000-03-31 00:00:00","2000","Q1",0,0,0,0,1800000,100000,1900000,-3800000,-1900000,-1900000,0,0,0,200000,10200000,10000000,-8100000,1900000,0,1900000,300000,1600000,0,0,1600000,0,1600000,0.19,0.19,8318694,8318694
"2000-03-31","MAN","USD","0000871763","2000-05-15","2000-05-15 00:00:00","2000","Q1",2568300000,2104400000,463900000,0,395500000,0,395500000,17900000,413400000,2517800000,0,0,10800000,17900000,68400000,50500000,0,50500000,-10800000,39700000,14100000,25600000,0,0,25600000,0,25600000,0.34,0.33,76100000,77200000
"2000-03-31","MANH","USD","0001056696","2000-05-15","2000-05-15 00:00:00","2000","Q1",28343000,11846000,16497000,3046000,7844000,0,7844000,1294000,12184000,24030000,0,0,0,1294000,5607000,4313000,0,4313000,403000,4716000,1792000,2924000,0,0,2924000,0,2924000,0.03,0.0253,97464000,115784000
"2000-03-31","MAOMF","CAD","0000000000","2000-03-31","2000-03-31 00:00:00","2000","Q1",1140,0,1140,0,0,0,36508,0,36508,36508,0,0,0,0,-35368,-35368,0,-35368,35368,0,0,-46645,0,0,-46645,0,-46645,-0.0321,-0.0321,2114810,2114810
"2000-03-24","MAR","USD","0001048286","2000-05-05","2000-05-05 00:00:00","2000","Q1",2167000000,1933000000,234000000,0,0,0,26000000,41000000,67000000,2000000000,0,0,0,41000000,208000000,167000000,0,167000000,-18000000,149000000,55000000,94000000,0,0,94000000,0,94000000,0.19,0.18,517071490,517071490
"2000-09-30","MARPS","USD","0000062362","2000-11-13","2000-11-13 00:00:00","2000","Q1",1694404,-225596,1920000,0,40000,4140,44140,0,44140,44140,0,0,0,-201434,1448830,1650264,0,1650264,228435,1878699,5400,1873299,0,0,1873299,0,1873299,0.94,0.94,1992871,1992871
"2000-03-31","MAS","USD","0000062996","2000-11-01","2000-11-01 00:00:00","2000","Q1",1746000000,1125900000,620100000,0,0,0,337400000,14200000,351600000,1477500000,0,0,0,14200000,282700000,268500000,0,268500000,7500000,276000000,102000000,174000000,0,0,174000000,0,174000000,0.4,0.39,435000000,446153846
"1999-12-31","MAS.V","CAD","0000000000","1999-12-31","1999-12-30 19:00:00","2000","Q1",1,0,0,0,0,0,25571,1757,27328,27328,0,0,0,1757,-25570,-27327,0,-27327,-2240,-29567,-726,-28841,0,0,-28841,0,-28841,-0.17,-0.17,173373,173373
"2000-03-31","MAT","USD","0000063276","2000-05-03","2000-05-03 00:00:00","2000","Q1",693261000,330251000,363010000,0,0,0,345486000,61185000,406671000,736922000,0,0,0,61185000,17524000,-43661000,0,-43661000,-17983000,-61644000,-17014000,-44630000,-126606000,0,-171236000,0,-171236000,-0.4,-0.4,425495000,425495000
"2000-03-31","MATN","USD","0000908259","2000-05-15","2000-05-15 00:00:00","2000","Q1",480000,350000,130000,2480000,880000,-104000,776000,0,3256000,3730000,0,0,420000,30000,-2370000,-2400000,0,-2400000,-420000,-2820000,420000,-3240000,0,0,-3240000,0,-3240000,-64.8,-64.8,50000,50000
"2000-03-31","MATR","USD","0001094348","2000-03-31","2000-03-30 19:00:00","2000","Q1",46179000,623000,45556000,2028000,0,0,43038000,1869000,46935000,46312000,446000,446000,0,1869000,2182000,313000,0,313000,0,313000,157000,156000,0,0,156000,0,156000,0.0352,0.0313,4429500,4990900
"2000-03-31","MATR.TO","CAD","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",126700000,102500000,24200000,1700000,0,0,0,0,8500000,111000000,0,0,0,6800000,22500000,16839000,-1139000,15700000,342000,14900000,7100000,8979000,-1161000,1253000,7818000,0,7818000,0.13,0.13,60138462,60138462
"2000-03-31","MATV","USD","0001000623","2000-05-05","2000-05-05 00:00:00","2000","Q1",118000000,90300000,27700000,1700000,0,0,8900000,5700000,16300000,106600000,0,0,0,5700000,17100000,11400000,0,11400000,-700000,10700000,3900000,6800000,0,0,6800000,0,6800000,0.22,0.22,30909091,30909091
"1999-12-31","MATW","USD","0000063296","2000-02-14","2000-02-14 00:00:00","2000","Q1",63500000,33100000,30400000,0,17600000,0,17600000,3097754,20700000,53800000,0,0,0,3100000,13483481,10385727,0,10385727,-380913,10000000,3900000,6083277,0,0,6100000,0,6083277,0.19,0.19,31262172,32002922
"2000-03-31","MATX","USD","0000003453","2000-05-12","2000-05-12 00:00:00","2000","Q1",219891000,170576000,49315000,0,22262000,0,22262000,0,22262000,192838000,0,0,0,0,-159986000,-159986000,187039000,27053000,-5347000,21706000,7525000,14181000,0,12250000,26431000,0,26431000,0.63,0.63,42131000,42131000
"2000-03-31","MAXR","USD","0001121142","2000-03-31","2000-03-30 19:00:00","2000","Q1",61340823,46676855,14663968,688449,0,0,5782973,0,9913668,56590524,0,0,0,3442245,8192545,4750299,0,4750299,-757295,3993005,2134192,1858812,0,0,1858812,0,1858812,0.062,0.062,30000000,30000000
"2000-03-31","MAXR.TO","CAD","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",61340823,46676855,14663967,688449,0,0,5782973,3442245,9913668,56590524,0,0,0,3442245,7435251,0,0,4750299,-757294,3993005,2134192,1858812,0,0,1858812,0,1858812,0.062,0.062,30000000,30000000
"1999-10-31","MAYS","USD","0000054187","1999-12-08","1999-12-08 00:00:00","2000","Q1",2700000,1200000,1500000,0,500000,0,500000,300000,800000,2000000,0,0,0,200000,900000,700000,0,700000,-200000,500000,200000,300000,0,0,300000,0,300000,0.14,0.14,2135780,2135780
"1999-10-31","MBA.TO","CAD","0000000000","1999-10-31","1999-10-30 20:00:00","2000","Q1",604419,316260,288158,0,0,0,290277,0,304972,621233,0,0,0,14638,-178244.9,0,0,-16813.525,176126,159313,0,159313,0,0,159313,0,159313,0.022,0.022,7225506,7225506
"2000-03-31","MBCF","USD","0000000000","2000-03-31","2000-03-31 00:00:00","2000","Q1",734567,565062,169505,0,192288,137221,329510,0,329510,894572,0,0,0,23477,-136527.737618,-160005.232214,0,-160005.232214,-53250.85711900002,-213256.089333,0,-213256.089333,0,0,-213256.089333,0,-213256.089333,-38.28,-38.28,5571,5571
"2000-03-31","MBCN","USD","0000836147","2000-03-31","2000-03-30 19:00:00","2000","Q1",1652207,1432310,219897,0,516008,0,516008,-1088771,-572763,859547,1693177,3050487,1357310,67835,860495,792660,0,792660,0,792660,235370,557290,0,0,557290,0,557290,0.23,0.23,2457649,2457649
