"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-03-31","JAICORPLTD.BO","INR","0000000000","2025-03-31","2025-03-30 20:00:00","2025","FY",5177000000,3627800000,1054100000,0,384269000,1536000,640600000,0,640600000,-4763500000,-2100000,0,2100000,112900000,942700000,829800000,-416300000,413500000,416300000,829800000,160300000,669500000,-3600000,-1200000,665500000,0,665500000,3.76,3.76,177000000,177000000
"2025-03-31","JAICORPLTD.NS","INR","0000000000","2025-03-31","2025-03-30 20:00:00","2025","FY",5177000000,3627800000,1054100000,0,384269000,1536000,640600000,0,640600000,-4763500000,-2100000,0,2100000,112900000,942700000,829800000,-416300000,413500000,416300000,829800000,160300000,669500000,-3600000,-1200000,665500000,0,665500000,3.76,3.76,177000000,177000000
"2025-03-31","JAIHINDS.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",1355000,1146000,1355000,0,25000,0,25000,1121000,1146000,1146000,-1000,0,1000,-210000,209000,209000,515000,209000,-1000,208000,50000,158000,0,0,158000,0,158000,0.0203,0.0203,7800000,7800000
"2025-03-31","JAINEX.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",237873000,111395000,126478000,0,33599000,0,33599000,85045000,118644000,230039000,-3477000,0,3477000,6417000,14251000,7834000,0,7834000,-3477000,4357000,908000,3449000,0,0,3449000,0,3449000,2.3,2.3,1499565,1499565
"2025-03-31","JAIPAN.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",287398000,247701000,39697000,0,0,0,0,32513000,32513000,280214000,-5034000,0,5034000,2010000,9403000,7393000,-209000,7184000,-4825000,2359000,0,2359000,0,0,2359000,0,2359000,0.39,0.39,6099840,6099840
"2025-03-31","JAIPURKURT.NS","INR","0000000000","2025-03-31","2025-03-30 20:00:00","2025","FY",696413000,440965000,255448000,0,33974000,36857000,184478000,0,184478000,625443000,-30882000,0,30882000,20302000,102927000,82625000,-11655000,70970000,-19227000,51743000,14634000,37109000,0,0,37109000,0,37109000,2.41,2.41,17437000,17437000
"2025-03-31","JAIRF","JPY","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",269921000000,96396000000,173526000000,0,30187000000,0,30187000000,104781000000,134968000000,231364000000,-3282000000,119000000,3401000000,28195000000,66779000000,38584000000,-27000000,38557000000,-3374000000,35183000000,-5465000000,40648000000,0,0,27470000000,0,27470000000,295.61,295.61,92926000,92926000
"2025-06-30","JAL.AX","AUD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","FY",47857,0,47857,0,536185,747299,1283484,0,1283484,1283484,0,0,0,3881,-1235627,-1239508,3881,-1235627,90466,-1145161,0,-1145161,0,0,-1051126,0,-1051126,-0.0017,-0.0017,618309411,618309411
"2025-03-31","JAMESWARREN.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",1659869000,899334000,760535000,0,0,0,472692000,0,472692000,1372026000,9292000,9292000,0,24764000,1064650000,1039886000,-752043000,287843000,752043000,1039886000,25930000,1013956000,0,0,1013956000,0,1013956000,274.08,274.08,3699425,3699425
"2025-03-31","JAMNAAUTO.BO","INR","0000000000","2025-03-31","2025-03-30 20:00:00","2025","FY",22701373000,16469229000,6232144000,0,1830334000,643004000,3688431000,0,3688431000,20157660000,-34757000,10817000,45574000,471534000,3074625000,2603091000,-59378000,2543713000,13804000,2557517000,754321000,1803196000,0,0,1803196000,0,1803196000,4.53,4.53,398460909,398460909
"2025-03-31","JAMNAAUTO.NS","INR","0000000000","2025-03-31","2025-03-30 20:00:00","2025","FY",22701373000,16469229000,6232144000,0,1830334000,643004000,3688431000,0,3688431000,20157660000,-34757000,10817000,45574000,471534000,3074625000,2603091000,-59378000,2543713000,13804000,2557517000,754321000,1803196000,0,0,1803196000,0,1803196000,4.53,4.53,398460909,398460909
"2025-03-31","JAMSHRI.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",70312000,0,70312000,0,5689000,161000,27419000,49487000,76906000,76906000,-27331000,0,27331000,13398000,30279000,16881000,-23475000,-6594000,-3856000,-10450000,0,-10450000,-1930000,0,-12380000,0,-12380000,-1.77,-1.77,6986500,6986500
"2025-06-30","JAN.AX","AUD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","FY",46819000,20791000,26028000,3387000,19253000,3780000,23136000,0,26523000,47314000,314000,337000,23000,5255000,-785000,-6040000,5545000,-495000,-6182000,-6677000,4651000,-11328000,0,0,-11328000,0,-11328000,-0.0436,-0.0436,259608112,259605000
"2025-09-30","JANL","USD","0001133062","2025-12-05","2025-12-05 17:01:18","2025","FY",207443000,142450000,64993000,0,0,0,55871000,2688000,58559000,201009000,-2073000,0,2073000,3333000,12285000,8952000,-2518000,6434000,445000,6879000,1222000,5657000,0,0,5657000,0,5030000,4.24,4.17,1186400,1205400
"2025-03-31","JAPSY","JPY","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",1844095000000,899392000000,944703000000,0,0,0,0,776098000000,776098000000,1675490000000,-13552000000,1789000000,15341000000,155907000000,330148000000,174241000000,-5636000000,168605000000,-9705000000,158900000000,46264000000,112635000000,0,0,107038000000,0,107038000000,122.55,122.55,873458000,873458000
"2025-03-31","JASH.NS","INR","0000000000","2025-03-31","2025-03-30 20:00:00","2025","FY",7351876000,4717296000,2634580000,0,1251568000,234051000,1528639000,0,1528639000,6245935000,-130732000,0,130732000,170281000,1379950000,1209669000,-103728000,1105941000,-27004000,1078937000,208673000,870264000,0,-2570000,876952000,0,876952000,14.03,13.93,63180980,63639478
"2025-06-30","JAT.AX","AUD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","FY",34840126,23369903,11470223,0,6103716,6333010,12546232,2577530,15123762,38493665,-335989,20981,356970,391360,-4542430,-4933790,1280251,-4746652,-2540399,-7287051,352952,-7640003,0,0,-2465944,0,-2465944,-0.0296,-0.0296,83266722,83266417
"2025-03-31","JAUSPOL.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3849000,0,-3849000,0,0,0,0,4625575,4625575
