"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-06-30","6703.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",85077000000,65123000000,19954000000,0,0,0,21324000000,0,21324000000,86447000000,-173000000,268000000,441000000,3750000000,2380000000,-1123000000,-247000000,-1370000000,-195000000,-1565000000,74000000,-1639000000,0,0,-1643000000,0,-1643000000,-18.95,-18.95,86722472,86722471
"2025-06-30","6707.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",22238000000,19353000000,2885000000,0,0,0,3272000000,0,3272000000,22625000000,86000000,261000000,175000000,387000000,876000000,-472000000,85000000,-387000000,-261000000,-648000000,211000000,-859000000,0,0,-864000000,0,-864000000,-38.98,-38.98,22164982,22164982
"2025-06-30","6724.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",320879000000,204555000000,116324000000,0,0,0,96569000000,5619000000,102188000000,306743000000,-1206000000,1376000000,2582000000,18959000000,33096000000,14137000000,-1000000,14136000000,-1219000000,12917000000,6304000000,6613000000,0,0,6612000000,0,6612000000,20.64,20.64,320349000,320349000
"2025-06-30","6727.T","JPY","0000000000","2025-06-30","2025-06-30 01:00:00","2026","Q1",24505000000,15277000000,9228000000,0,0,0,6498000000,7000000,6505000000,21782000000,-27000000,4000000,31000000,438000000,3168000000,2730000000,-7000000,2723000000,-464000000,2259000000,621000000,1638000000,0,0,1638000000,0,1638000000,12.18,12.18,134504822,134504814
"2025-06-30","6736.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",2585094000,1955878000,629216000,0,0,0,719834000,-1000,719833000,2675711000,67283000,73692000,6409000,81364250,-9253750,-90618000,1000,-90617000,1891070000,1800453000,24708000,1775745000,0,0,1775745000,0,1775745000,79.74,79.66,22291551,22291551
"2025-06-30","6740.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",32443000000,36017000000,-3574000000,2083000000,0,0,5579000000,-2082000000,5580000000,41597000000,-1845000000,28000000,1873000000,1072000000,-8081000000,-9153000000,-1000000,-9154000000,-10797000000,-19951000000,305000000,-20256000000,0,0,-20256000000,0,-20256000000,-3.27,-3.27,6188723000,6188721000
"2025-09-30","6742.KL","MYR","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q1",5360310000,4134631000,1225679000,0,0,0,0,255516000,255516000,4390147000,-407510000,0,407510000,497213000,1564837000,1067624000,-97461000,970163000,-310049000,660114000,175372000,484742000,0,0,500567000,0,500567000,0.0586,0.0548,8538192000,9140004000
"2025-06-30","6752.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",1896691000000,1292940000000,603751000000,0,0,0,512272000000,0,512272000000,1805212000000,4074000000,12698000000,8624000000,97789000000,198307000000,100518000000,-9039000000,91479000000,-502000000,90977000000,13892000000,77085000000,0,0,71463000000,0,71463000000,30.61,30.6,2334582000,2334547000
"2025-06-30","6753.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",472490000000,368127000000,104363000000,0,0,0,89060000000,0,89060000000,457187000000,-781000000,1230000000,2011000000,9490000000,41805000000,32315000000,-17012000000,15303000000,15001000000,30304000000,2556000000,27748000000,0,-1000000,27239000000,0,27239000000,41.95,41.95,649300000,649300000
"2025-06-30","6754.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",23620000000,11874000000,11746000000,2123000000,0,0,8296000000,-12000000,10407000000,22281000000,13000000,195000000,182000000,1435000000,2776000000,1341000000,-2000000,1339000000,12000000,1351000000,768000000,583000000,0,0,583000000,0,583000000,4.55,4.55,128201745,128201722
"2025-06-30","6758.T","JPY","0000313838","2025-06-30","2025-06-30 00:00:00","2026","Q1",2621615000000,1775067000000,846548000000,0,0,0,514802000000,-8209000000,506593000000,2281660000000,16646000000,51654000000,35008000000,274399000000,666008000000,391609000000,-51654000000,339955000000,16646000000,356601000000,93781000000,262820000000,-22118000000,0,236909000000,0,236909000000,39.4,39.18,6098848000,6114033000
"2025-06-30","6762.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",535753000000,366099000000,169654000000,64689000000,0,0,121020000000,-72474000000,113235000000,479334000000,1651000000,7666000000,6015000000,48011000000,104430000000,56419000000,0,56419000000,1211000000,57630000000,15247000000,42383000000,0,0,41462000000,0,41462000000,21.85,21.82,1897689000,1900183000
"2025-10-31","6778.T","JPY","0000000000","2025-10-31","2025-10-30 20:00:00","2026","Q1",315783000,171489000,144294000,0,0,0,377510000,0,377510000,548999000,43436000,46586000,3150000,17355000,-164076000,-181431000,-51785000,-233216000,48635000,-184581000,-33776000,-150805000,0,0,-150805000,0,-150805000,-17.18,-17.18,8779530,8779530
"2025-06-30","6786.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",282928000,190609000,92319000,0,0,0,130384999,0,130384999,320994000,298000,993000,695000,3629000,-12395000,-16024000,-22042000,-38066000,21349000,-16716999,2345000,-19062000,0,0,-19062000,0,-19062000,-0.75,-0.75,25321026,25321026
"2025-06-30","6804.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",116340000000,111578000000,4762000000,0,0,0,2370000000,0,2370000000,113948000000,185000000,197000000,12000000,1058000000,3029000000,1971000000,421000000,2392000000,-434000000,1958000000,645000000,1313000000,0,0,1313000000,0,1313000000,25.8,24,50887743,54708333
