"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","netIncome","depreciationAndAmortization","deferredIncomeTax","stockBasedCompensation","changeInWorkingCapital","accountsReceivables","inventory","accountsPayables","otherWorkingCapital","otherNonCashItems","netCashProvidedByOperatingActivities","investmentsInPropertyPlantAndEquipment","acquisitionsNet","purchasesOfInvestments","salesMaturitiesOfInvestments","otherInvestingActivities","netCashProvidedByInvestingActivities","netDebtIssuance","longTermNetDebtIssuance","shortTermNetDebtIssuance","netStockIssuance","netCommonStockIssuance","commonStockIssuance","commonStockRepurchased","netPreferredStockIssuance","netDividendsPaid","commonDividendsPaid","preferredDividendsPaid","otherFinancingActivities","netCashProvidedByFinancingActivities","effectOfForexChangesOnCash","netChangeInCash","cashAtEndOfPeriod","cashAtBeginningOfPeriod","operatingCashFlow","capitalExpenditure","freeCashFlow","incomeTaxesPaid","interestPaid"
"2025-06-30","CSW-B.TO","CAD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",6201000,4122000,2334000,0,4173000,-9904000,-1053000,14313000,817000,-1296000,15534000,-338000,0,0,0,-10094000,-10432000,1625000,-540000,2165000,0,0,0,0,0,-6548000,-6548000,0,0,-4923000,0,179000,179000,0,15534000,-354000,15180000,0,0
"2025-03-31","CSWC","USD","0000017313","2025-05-20","2025-05-20 16:04:07","2025","Q4",17561000,1672000,1151000,2657000,1895000,-1735000,0,0,3630000,-87810000,-62874000,-396000,0,-153571000,68002000,89715000,3750000,35000000,35000000,0,67542000,67542000,67542000,0,0,-33707000,-33707000,0,-853000,67982000,0,8858000,44871000,36013000,-62874000,1270000,-61604000,0,0
"2025-03-31","CSWCZ","USD","0000017313","2025-05-20","2025-05-20 16:04:07","2025","Q4",17561000,1672000,1151000,2657000,1895000,-1735000,0,0,3630000,-87810000,-62874000,-396000,0,-153571000,68002000,89715000,3750000,35000000,35000000,0,67542000,67542000,67542000,0,0,-33707000,-33707000,0,-853000,67982000,0,8858000,44871000,36013000,-62874000,1270000,-61604000,0,0
"2025-03-31","CSWI","USD","0001624794","2025-05-22","2025-05-22 06:30:41","2025","Q4",35055000,11499000,-8159000,3350000,-18062000,-41432000,6837000,292000,16241000,3610000,27293000,-4531000,-193000,2500000,0,-1424000,-3648000,166000000,166000000,0,-6758000,-6758000,0,-6758000,0,-4028000,-4028000,0,-167085000,-11871000,317000,12091000,225845000,213754000,27293000,-4531000,22762000,0,0
"2025-06-30","CSX.AX","AUD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",-74042,458122,0,275876,-45369,-686239,611265,0,29605,1940594,2555181,-96234,0,0,0,-1047370,-1143604,0,0,0,0,0,0,0,0,0,0,0,-254873,-254873,0,1156704,2520153,1363449,2318377,-96234,2222143,0,0
"2025-06-30","CSXXY","AUD","0001541309","2025-06-30","2025-06-29 20:00:00","2025","Q4",152014000,88400000,0,0,0,0,0,0,0,37829000,278243000,-60512000,-89825000,-6500000,575000,0,-156262000,81118000,0,81118000,253000,253000,253000,0,0,-140427000,-140427000,0,-11986000,-71042000,3484000,54423000,289327000,234904000,278243000,-5013000,273230000,0,0
"2025-06-30","CT1.AX","AUD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",-246007,62454,0,0,-31014,-131454,0,0,100440,345444,130877,-1070,0,0,0,-215068,-216138,0,0,0,0,0,0,0,0,0,0,0,0,0,-30530,-673615,0,673615,130877,-1070,129807,0,0
"2025-05-31","CTAS","USD","0000723254","2025-07-28","2025-07-28 16:17:28","2025","Q4",448256000,121889000,1479000,30743000,33382000,-15380000,-25894000,71174000,3482000,0,635749000,-114624000,-34091000,-132000,0,-419000,-149266000,-53077000,-53077000,0,-256671000,-256671000,0,-256671000,0,-157924000,-157924000,0,-758000,-468430000,2492000,20545000,263973000,243428000,635749000,-114624000,521125000,0,0
"2025-03-31","CTCL.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",48718000,6444000,0,0,2651000,24687000,-21808000,0,-228000,19822000,77635000,-20243000,0,-81525000,0,-81342000,-101585000,-34139000,0,0,63000000,0,0,0,0,0,0,0,-2000,24629000,0,-1794000,0,1794000,77635000,-20243000,57392000,0,4230000
"2025-03-31","CTE.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",-62320080,0,0,0,0,0,0,0,0,62320080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-03-31","CTE.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",-62320080,0,0,0,0,0,0,0,0,62320080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-06-30","CTGO","USD","0001502377","2025-08-13","2025-08-13 16:30:28","2025","Q4",15924865,33741,-52451,759084,-7506115,0,-803824,-6860407,70480,-781386,8377738,0,0,0,0,-159870,-159870,0,0,0,0,-798922,1328107,0,0,0,0,0,-6871893,-6871893,0,1345975,36559790,35213815,8377738,0,8377738,0,0
"2025-03-31","CTL.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",13322000,0,0,0,0,0,0,0,0,-13322000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-06-30","CTLP","USD","0000896429","2025-09-08","2025-09-08 17:04:51","2025","Q4",6831000,4022000,-1621000,0,-2342000,-3646000,866000,966000,-528000,2536000,9426000,-5086000,0,0,0,0,-5086000,-535000,-535000,0,731000,731000,731000,0,0,0,0,0,263000,459000,10000,4809000,51146000,46337000,9426000,-5086000,4340000,-779000,749000
"2025-06-30","CTLPP","USD","0000896429","2025-09-08","2025-09-08 17:04:51","2025","Q4",6831000,4022000,-1621000,0,-2342000,-3646000,866000,966000,-528000,2536000,9426000,-5086000,0,0,0,0,-5086000,-535000,-535000,0,731000,731000,731000,0,0,0,0,0,263000,459000,10000,4809000,51146000,46337000,9426000,-5086000,4340000,-779000,749000
"2025-06-30","CTN.AX","AUD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",0,0,0,0,0,0,0,0,0,-923735,-923735,-407493,0,0,0,40000,-367493,0,0,0,2625510,2625510,2625510,0,0,0,0,0,-6992,2618518,1516397,2843687,3522149,678462,-923735,-250715,-1174450,0,0
"2025-06-30","CTO.AX","AUD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",-973316,13677,0,0,152249,122249,0,0,30000,522809,-284581,-145905,0,0,0,0,-145905,119000,119000,0,0,0,0,0,0,0,0,0,759200,878200,0,447714,449425,1711,-284581,-145905,-430486,0,1292
